factorial,primitive,engine,action,support_fraction,noise_ratio,exposure,effect_strength,ood_distance,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,n
support_noise,curvature,spline,true-full,0.525,0.01,0.55,0.55,0.4,0.75,0.6333333333333333,0.85,-0.004570904398771416,-0.005966941260213033,-0.0032459168479003378,0.21666666666666667,0.03333333333333333,60
support_noise,curvature,spline,true-full,0.525,0.05,0.55,0.55,0.4,0.7666666666666667,0.6666666666666666,0.8666666666666667,-0.022706092889764513,-0.03069991332712335,-0.01540014417383308,0.2,0.016666666666666666,60
support_noise,curvature,spline,true-full,0.7,0.001,0.55,0.55,0.4,0.8,0.7,0.9,-0.0005935913462023773,-0.0007849796663571432,-0.0004298123335608086,0.06666666666666667,0.0,60
support_noise,curvature,spline,true-full,0.7,0.01,0.55,0.55,0.4,0.8333333333333334,0.7333333333333333,0.9166666666666666,-0.012736995848376096,-0.016552706335972955,-0.009250980616413324,0.08333333333333333,0.0,60
support_noise,curvature,spline,true-full,0.7,0.05,0.55,0.55,0.4,0.8166666666666667,0.7166666666666667,0.9,-0.06354892197450769,-0.08277522658636421,-0.045987755539087065,0.1,0.016666666666666666,60
support_noise,direction,neural,true-full,0.35,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.02119560060924742,0.020343830958555183,0.022081902656581453,1.0,0.0,60
support_noise,direction,neural,true-full,0.35,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.021708817794330315,0.02080523565482078,0.022620504336830837,1.0,0.0,60
support_noise,direction,neural,true-full,0.35,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.02263447761807569,0.021629916184767686,0.02366545947137468,1.0,0.0,60
support_noise,direction,neural,true-full,0.525,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.031599743537817644,0.0303938038653793,0.03281821004062146,1.0,0.0,60
support_noise,direction,neural,true-full,0.525,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.033619557364236656,0.03231169059663536,0.034893044099648995,1.0,0.0,60
support_noise,direction,neural,true-full,0.525,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.03153882173997014,0.02987372581983451,0.03325552461200441,1.0,0.0,60
support_noise,direction,neural,true-full,0.7,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.04279439019755958,0.04136549480998924,0.044222436508945064,1.0,0.0,60
support_noise,direction,neural,true-full,0.7,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.0434345135287679,0.0416660647349225,0.0452781790425284,1.0,0.0,60
support_noise,direction,neural,true-full,0.7,0.05,0.55,0.55,0.4,0.05,0.0,0.11666666666666667,0.03771347489370112,0.032361782300268135,0.0424320331280394,0.95,0.05,60
support_noise,direction,spline,true-full,0.35,0.001,0.55,0.55,0.4,0.7,0.5833333333333334,0.8166666666666667,-6.333087814060636e-05,-8.736550644246513e-05,-4.0861507842668675e-05,0.21666666666666667,0.016666666666666666,60
support_noise,direction,spline,true-full,0.35,0.01,0.55,0.55,0.4,0.6833333333333333,0.5666666666666667,0.8,-0.0006203575172056923,-0.0008327955528698726,-0.0004037868974787331,0.23333333333333334,0.0,60
support_noise,direction,spline,true-full,0.35,0.05,0.55,0.55,0.4,0.6166666666666667,0.5,0.7333333333333333,-0.0029721882491200832,-0.004097675621719325,-0.0018885008285608297,0.18333333333333332,0.0,60
support_noise,direction,spline,true-full,0.525,0.001,0.55,0.55,0.4,0.7,0.5833333333333334,0.8166666666666667,-0.0001850419162028577,-0.000249930765357066,-0.00012025624100871321,0.15,0.016666666666666666,60
support_noise,direction,spline,true-full,0.525,0.01,0.55,0.55,0.4,0.75,0.6333333333333333,0.85,-0.0022629586483703065,-0.0029761430037201636,-0.0015666333453487546,0.16666666666666666,0.016666666666666666,60
support_noise,direction,spline,true-full,0.525,0.05,0.55,0.55,0.4,0.55,0.43333333333333335,0.6666666666666666,0.008820115071341244,-0.0017886364681709572,0.021718987520383724,0.36666666666666664,0.0,60
support_noise,direction,spline,true-full,0.7,0.001,0.55,0.55,0.4,0.8166666666666667,0.7166666666666667,0.9166666666666666,-0.0003334735332920398,-0.0004198611156759761,-0.0002510365594581556,0.11666666666666667,0.0,60
support_noise,direction,spline,true-full,0.7,0.01,0.55,0.55,0.4,0.7666666666666667,0.65,0.8666666666666667,-0.0033646300088745703,-0.004426214029869251,-0.002276349924236208,0.13333333333333333,0.0,60
