task_id,proposal_index,prefix_exposure,policy,nrmse
26,26,high,invariant_residual_MAP,0.04195992868531171
26,26,high,invariant_residual_ensemble,0.03905458382559321
26,26,high,evidence_weighted_residual_mixture,0.033624503833422414
26,26,high,free_baseline,0.01404732432314692
26,26,low,closed_mechanism,0.16719245026090687
26,26,low,invariant_residual_MAP,0.696714772378346
26,26,low,invariant_residual_ensemble,0.6058442240641772
26,26,low,evidence_weighted_residual_mixture,0.6102822811199989
26,26,low,free_baseline,0.6431573979749156
26,26,medium,closed_mechanism,0.16719245026090687
26,26,medium,invariant_residual_MAP,0.20717835964796652
26,26,medium,invariant_residual_ensemble,0.2268116466627974
26,26,medium,evidence_weighted_residual_mixture,0.22651903907890827
26,26,medium,free_baseline,0.10883678625725818
27,27,high,closed_mechanism,0.4262089472532852
27,27,high,invariant_residual_MAP,0.014243995667133495
27,27,high,invariant_residual_ensemble,0.013689986202800007
27,27,high,evidence_weighted_residual_mixture,0.024275706600422817
27,27,high,free_baseline,0.021048019928824515
27,27,low,closed_mechanism,0.4262089472532852
27,27,low,invariant_residual_MAP,0.26571430139322766
27,27,low,invariant_residual_ensemble,0.0848172999216897
27,27,low,evidence_weighted_residual_mixture,0.1156012533663087
27,27,low,free_baseline,0.12424393223569451
27,27,medium,closed_mechanism,0.4262089472532852
27,27,medium,invariant_residual_MAP,0.013022126256342326
27,27,medium,invariant_residual_ensemble,0.023851609311665283
27,27,medium,evidence_weighted_residual_mixture,0.05408393848182225
27,27,medium,free_baseline,0.013769009326059675
28,28,high,closed_mechanism,0.2651127184061003
28,28,high,invariant_residual_MAP,0.06280107022488529
28,28,high,invariant_residual_ensemble,0.04280598592912459
28,28,high,evidence_weighted_residual_mixture,0.0485697390142327
28,28,high,free_baseline,0.028873010091756645
28,28,low,closed_mechanism,0.2651127184061003
28,28,low,invariant_residual_MAP,0.8593753655297326
28,28,low,invariant_residual_ensemble,0.7471789306947171
28,28,low,evidence_weighted_residual_mixture,0.7600760709745688
28,28,low,free_baseline,0.7842077211245959
28,28,medium,closed_mechanism,0.2651127184061003
28,28,medium,invariant_residual_MAP,0.10662529931409444
28,28,medium,invariant_residual_ensemble,0.03516172816488756
28,28,medium,evidence_weighted_residual_mixture,0.03238922235249517
28,28,medium,free_baseline,0.14741576584667437
29,29,high,closed_mechanism,0.44140118774942627
29,29,high,invariant_residual_MAP,0.04747615787736629
29,29,high,invariant_residual_ensemble,0.03194384191976129
29,29,high,evidence_weighted_residual_mixture,0.020651030193110893
29,29,high,free_baseline,0.09386642803631139
29,29,low,closed_mechanism,0.44140118774942627
29,29,low,invariant_residual_MAP,0.262115472265086
29,29,low,invariant_residual_ensemble,0.07119484818960162
29,29,low,evidence_weighted_residual_mixture,0.15947401860873126
29,29,low,free_baseline,0.2411905520506039
29,29,medium,closed_mechanism,0.44140118774942627
29,29,medium,invariant_residual_MAP,0.17777416455802242
29,29,medium,invariant_residual_ensemble,0.05479775162873254
29,29,medium,evidence_weighted_residual_mixture,0.14318400305923426
29,29,medium,free_baseline,0.10148360925945397
30,30,high,closed_mechanism,0.378007249048907
30,30,high,invariant_residual_MAP,0.038248456624246065
30,30,high,invariant_residual_ensemble,0.028404074033666044
30,30,high,evidence_weighted_residual_mixture,0.025859100067825973
30,30,high,free_baseline,0.04822003006499698
30,30,low,closed_mechanism,0.378007249048907
30,30,low,invariant_residual_MAP,0.3291373347683867
30,30,low,invariant_residual_ensemble,0.134377469036755
30,30,low,evidence_weighted_residual_mixture,0.20180749751610597
30,30,low,free_baseline,0.6555068375540901
30,30,medium,closed_mechanism,0.378007249048907
30,30,medium,invariant_residual_MAP,0.10538523889903176
30,30,medium,invariant_residual_ensemble,0.033791408344619675
30,30,medium,evidence_weighted_residual_mixture,0.04123270696376589
30,30,medium,free_baseline,0.5246313109470574
31,31,high,closed_mechanism,0.21313525689851945
31,31,high,invariant_residual_MAP,0.14021438021881677
31,31,high,invariant_residual_ensemble,0.04661460337246717
31,31,high,evidence_weighted_residual_mixture,0.05599552186980981
31,31,high,free_baseline,0.08065116324903607
31,31,low,closed_mechanism,0.21313525689851945
31,31,low,invariant_residual_MAP,0.5701629233954747
31,31,low,invariant_residual_ensemble,0.4388009709172959
31,31,low,evidence_weighted_residual_mixture,0.4386137538360259
31,31,low,free_baseline,0.5383908150631825
31,31,medium,closed_mechanism,0.21313525689851945
31,31,medium,invariant_residual_MAP,0.15145946573900684
31,31,medium,invariant_residual_ensemble,0.043538511736438246
31,31,medium,evidence_weighted_residual_mixture,0.04126330868217249
31,31,medium,free_baseline,0.10176451147820197
32,32,high,closed_mechanism,0.4271016873618433
32,32,high,invariant_residual_MAP,0.04397935387289226
32,32,high,invariant_residual_ensemble,0.014925492453498015
32,32,high,evidence_weighted_residual_mixture,0.03361499189865899
32,32,high,free_baseline,0.035866908991798965
32,32,low,closed_mechanism,0.4271016873618433
32,32,low,invariant_residual_MAP,0.05914513145543601
32,32,low,invariant_residual_ensemble,0.045260214331176433
32,32,low,evidence_weighted_residual_mixture,0.05449787615268567
32,32,low,free_baseline,0.7874220073610904
32,32,medium,closed_mechanism,0.4271016873618433
32,32,medium,invariant_residual_MAP,0.0845515557113195
32,32,medium,invariant_residual_ensemble,0.014927923859506498
32,32,medium,evidence_weighted_residual_mixture,0.017133031568325578
32,32,medium,free_baseline,0.014495908894646805
33,33,high,closed_mechanism,0.34076303007308323
33,33,high,invariant_residual_MAP,0.12929386025980724
33,33,high,invariant_residual_ensemble,0.07820834547018128
33,33,high,evidence_weighted_residual_mixture,0.09807422956475913
33,33,high,free_baseline,0.15695618458202482
33,33,low,closed_mechanism,0.34076303007308323
33,33,low,invariant_residual_MAP,0.023667814134586535
33,33,low,invariant_residual_ensemble,0.06453617468898629
33,33,low,evidence_weighted_residual_mixture,0.06642834507083052
33,33,low,free_baseline,0.024380379036515014
33,33,medium,closed_mechanism,0.34076303007308323
33,33,medium,invariant_residual_MAP,0.08270654837985178
33,33,medium,invariant_residual_ensemble,0.008355565100539057
33,33,medium,evidence_weighted_residual_mixture,0.01632639092709757
33,33,medium,free_baseline,0.285793713682721
34,34,high,closed_mechanism,0.28010517288093206
34,34,high,invariant_residual_MAP,0.10100963452316084
34,34,high,invariant_residual_ensemble,0.01964074565246721
34,34,high,evidence_weighted_residual_mixture,0.03160829661223368
34,34,high,free_baseline,0.06926044275110368
34,34,low,closed_mechanism,0.28010517288093206
34,34,low,invariant_residual_MAP,0.1552541609180086
34,34,low,invariant_residual_ensemble,0.0556101776539763
34,34,low,evidence_weighted_residual_mixture,0.055640307307007315
34,34,low,free_baseline,0.2026045533060469
34,34,medium,closed_mechanism,0.28010517288093206
34,34,medium,invariant_residual_MAP,0.10100963452316084
34,34,medium,invariant_residual_ensemble,0.04141602086029578
34,34,medium,evidence_weighted_residual_mixture,0.04134707555041312
34,34,medium,free_baseline,0.08043801979524239
35,35,high,closed_mechanism,0.4589108279898218
35,35,high,invariant_residual_MAP,0.023406506986271346
35,35,high,invariant_residual_ensemble,0.03973884174870421
35,35,high,evidence_weighted_residual_mixture,0.013346943419827553
35,35,high,free_baseline,0.024878243587745968
35,35,low,closed_mechanism,0.4589108279898218
35,35,low,invariant_residual_MAP,0.7066502826649689
35,35,low,invariant_residual_ensemble,0.7922588784032244
35,35,low,evidence_weighted_residual_mixture,0.7920091306317465
35,35,low,free_baseline,0.15837066248557377
35,35,medium,closed_mechanism,0.4589108279898218
35,35,medium,invariant_residual_MAP,0.025499538633279657
35,35,medium,invariant_residual_ensemble,0.08892442460428546
