primitive,separability,dof,prefix,mean_S,mean_ESS,E_struct,d_eff,V_f_norm
inflection,high,5,0.6,0.4347255977687212,21.98366286548165,1.2318140449589964e-06,2.076463364115845,2.4772897829494367
inflection,high,5,0.7,0.4577470949197522,13.96766036842903,3.666734358405027e-07,1.8470342796640609,1.44725110400209
inflection,low,1,0.2,1.3862943611198906,2369.947404077781,0.0003783104937706931,1.0,0.528580412284253
inflection,low,1,0.3,1.3862943611198906,1338.1269552020929,0.00044188565597212285,1.0,0.3251777909487762
inflection,low,1,0.4,1.3862943611198906,811.9338060775709,0.0005026955688908653,1.0,0.2103266675495757
inflection,low,1,0.5,1.3862943611198906,538.6881955472095,0.0004124584153915681,1.0,0.13932638965526103
inflection,low,1,0.6,1.3862943611198906,389.0284080927404,0.00016627842506376124,1.0,0.0902305630023067
inflection,low,1,0.7,1.3862943611198906,308.56637272713925,1.7726784460153936e-05,1.0,0.06548131566582209
inflection,low,3,0.2,1.3862943611198906,855.9093707664101,0.0003783104937706931,2.0345555999665175,2.2527641706025165
inflection,low,3,0.3,1.3862943611198906,536.2397191541328,0.00044188565597212285,1.9374117147275474,2.049812508992398
inflection,low,3,0.4,1.3862943611198906,305.10222710406975,0.0005026955688908653,1.7555591103503456,1.8514131579199553
inflection,low,3,0.5,1.3862943611198906,186.78390566044774,0.0004124584153915681,1.5714553284775101,1.5794301549042098
inflection,low,3,0.6,1.3862943611198906,130.46502344554526,0.00016627842506376124,1.4042793627586925,1.0825307299409828
inflection,low,3,0.7,1.3862943611198906,103.40151831267242,1.7726784460153936e-05,1.3648566333474381,0.6195502153159373
inflection,low,5,0.2,0.6136024742713723,185.5662649242081,0.0003783104937706931,3.091099025447924,4.150755328742974
inflection,low,5,0.3,0.673692215056532,126.14998241540957,0.00044188565597212285,2.958380752988005,3.8275200438855492
inflection,low,5,0.4,0.6580793114341814,78.95433397184169,0.0005026955688908653,2.735790094179217,3.6788426119944924
inflection,low,5,0.5,0.5124465082318501,45.09567980618086,0.0004124584153915681,2.4813262996724714,3.3547938581646
inflection,low,5,0.6,0.46215706939295265,26.766346747453326,0.00016627842506376124,2.140506589406048,2.4083929121460357
